Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
68673,1797zYiX4cKosMH836X9Gt,Bad Bunny;Tony Dize,Un Verano Sin Ti,La Corriente,90,198367,TRUE,0.663,0.786,11,-3.51,0,0.195,0.229,0,0.219,0.579,196.12,4,latino
88814,1797zYiX4cKosMH836X9Gt,Bad Bunny;Tony Dize,Un Verano Sin Ti,La Corriente,90,198367,TRUE,0.663,0.786,11,-3.51,0,0.195,0.229,0,0.219,0.579,196.12,4,reggae
89724,1797zYiX4cKosMH836X9Gt,Bad Bunny;Tony Dize,Un Verano Sin Ti,La Corriente,90,198367,TRUE,0.663,0.786,11,-3.51,0,0.195,0.229,0,0.219,0.579,196.12,4,reggaeton
98206,0Iys022UwQ8xBfxE1g4nWZ,Christopher Jackson;Lin-Manuel Miranda;Original Broadway Cast of Hamilton,Hamilton (Original Broadway Cast Recording),One Last Time,62,296387,FALSE,0.449,0.42,8,-9.624,1,0.356,0.631,0,0.0805,0.41,176.989,4,show-tunes
68912,71wFwRo8xGc4lrcyKwsvba,Bad Bunny;Tainy,Un Verano Sin Ti,Callaita,81,250533,FALSE,0.608,0.626,2,-4.773,1,0.301,0.597,2.16E-06,0.25,0.246,176.086,4,latino
89954,71wFwRo8xGc4lrcyKwsvba,Bad Bunny;Tainy,Un Verano Sin Ti,Callaita,81,250533,FALSE,0.608,0.626,2,-4.773,1,0.301,0.597,2.16E-06,0.25,0.246,176.086,4,reggaeton
33534,7hwthq1edAI6IMNBmmypqH,Killing Me Inside,One Reason,For One Last Time,39,291093,FALSE,0.422,0.936,5,-3.835,0,0.126,0.00245,1.95E-05,0.231,0.226,159.941,4,emo
86960,7hwthq1edAI6IMNBmmypqH,Killing Me Inside,One Reason,For One Last Time,39,291093,FALSE,0.422,0.936,5,-3.835,0,0.126,0.00245,1.95E-05,0.231,0.226,159.941,4,punk
49154,17dA9QaEEmG22ELHhuA5Ca,Deetox;Crystal Mad,Fallen,One Last Time,25,187354,FALSE,0.389,0.88,10,-2.732,0,0.0429,0.0572,0,0.105,0.167,155.032,4,hardstyle
68866,6VrQTLzzuyGIYjUDe4kAZk,Bad Bunny,Un Verano Sin Ti,Un Coco,87,196412,FALSE,0.839,0.69,11,-4.464,1,0.0615,0.207,8.33E-06,0.176,0.744,151.991,4,latino
89913,6VrQTLzzuyGIYjUDe4kAZk,Bad Bunny,Un Verano Sin Ti,Un Coco,87,196412,FALSE,0.839,0.69,11,-4.464,1,0.0615,0.207,8.33E-06,0.176,0.744,151.991,4,reggaeton
91653,3z8h0TU7ReDPLIbEnYhWZb,Queen,Bohemian Rhapsody (The Original Soundtrack),Bohemian Rhapsody,75,354947,FALSE,0.39,0.397,0,-9.963,0,0.0513,0.287,0,0.207,0.246,144.031,4,rock
17695,0tjeY2rdrKjUjtO5IwKusl,Glee Cast;Jonathan Groff,"Glee: The Music, Journey To Regionals",Bohemian Rhapsody (Glee Cast Version) (feat. Jonathan Groff),45,356133,FALSE,0.388,0.419,0,-7.111,0,0.0286,0.417,0,0.171,0.382,143.099,4,club
68816,5kVZxyMY1gfdCLiChsfjn1,Bad Bunny,Un Verano Sin Ti,Yo No Soy Celoso,85,230704,TRUE,0.872,0.588,0,-6.276,1,0.0492,0.275,0,0.17,0.93,142.004,4,latino
89916,5kVZxyMY1gfdCLiChsfjn1,Bad Bunny,Un Verano Sin Ti,Yo No Soy Celoso,85,230704,TRUE,0.872,0.588,0,-6.276,1,0.0492,0.275,0,0.17,0.93,142.004,4,reggaeton
89907,4d4ZXH4dr5bYfgErHiZCX2,Bad Bunny,Un Verano Sin Ti,Dos Mil 16,86,208615,FALSE,0.817,0.67,1,-6.534,1,0.0506,0.123,1.92E-06,0.128,0.495,130.058,3,reggaeton
